title,authors,year,abstract,keywords,doi,url,venue,type,source
Research on the Mechanism for Enhancing Undergraduate Students' Information Security Behavior in the Context of Generative Artificial Intelligence,Yuhua Cao,2025,Improving undergraduate students' ability to cope with cyber risks is one of the key issues to be addressed in the digital transformation of higher education in the era of generative artificial intelligence. In order to explore how to improve ...,,10.1145/3723890.3723902,https://dl.acm.org/doi/10.1145/3723890.3723902,"CNSCT '25: Proceedings of the 2025 4th International Conference on Cryptography, Network Security and Communication TechnologyPages 69–74https://doi.org/10.1145/3723890.3723902",article,ACM
The logical transformation and realization path of generative artificial intelligence empowerment instructional design from the perspective of digital transformation,"Shuai Zhang, Hong Li, Xuanchao Chen",2025,"The precise empowerment instructional design of generative artificial intelligence is a key means to promote and improve the quality of teaching, which responds to the urgent needs of China 's digital transformation. As a new generation of digital ...",,10.1145/3724504.3724511,https://dl.acm.org/doi/10.1145/3724504.3724511,"ICIEAI '24: Proceedings of the 2024 2nd International Conference on Information Education and Artificial IntelligenceDecember 2024, Pages 34–39https://doi.org/10.1145/3724504.3724511",article,ACM
Impacts of the Usage of Generative Artificial Intelligence on Software Development Process,"Patricia de Oliveira Santos, Allan Chamon Figueiredo, Pedro Nuno Moura, + 3",2024,"Context: Over the years, tools have been created to improve the execution of development process activities. The emergence of generative Artificial Intelligence (AI) and, more recently, the launch and dissemination of Copilot, ChatGPT-3 and other ...",,10.1145/3658271.3658337,https://dl.acm.org/doi/10.1145/3658271.3658337,"SBSI '24: Proceedings of the 20th Brazilian Symposium on Information SystemsArticle No.: 65, Pages 1–9https://doi.org/10.1145/3658271.3658337",article,ACM
Learning Assessment for Open Education Learners in the Era of Generative Artificial Intelligence,"Yuanyi Qi, Lamei Wang",2024,"Generative Artificial Intelligence (AI) tools are now used by students to do their learning assessment, thus impairing the value of such learning assessment. For open education learners who aim to just obtain adult education diplomas, particularly, the ...",,10.1145/3678392.3678405,https://dl.acm.org/doi/10.1145/3678392.3678405,ICFET '24: Proceedings of the 2024 10th International Conference on Frontiers of Educational TechnologiesPages 38–44https://doi.org/10.1145/3678392.3678405,article,ACM
Beyond Text-to-Text: An Overview of Multimodal and Generative Artificial Intelligence for Education Using Topic Modeling,"Ville Heilala, Roberto Araya, Raija Hämäläinen",2025,"Generative artificial intelligence (GenAI) can reshape education and learning. While large language models (LLMs) like ChatGPT dominate current educational research, multimodal capabilities—such as text-to-speech and text-to-image—are less explored. This ...",,10.1145/3672608.3707764,https://dl.acm.org/doi/10.1145/3672608.3707764,"SAC '25: Proceedings of the 40th ACM/SIGAPP Symposium on Applied ComputingMarch 2025, Pages 54–63https://doi.org/10.1145/3672608.3707764",article,ACM
How Can Generative Artificial Intelligence Techniques Facilitate Intelligent Research into Ancient Books?,"Jiangfeng Liu, Xueliang Ma, Lanyu Wang, Lei Pei",2024,"Generative AI changes the paradigm of natural language processing research, sets off a new trend of research in computational humanities and computational social sciences, and provides unique perspectives on digital intelligence-enabled ancient book ...",,10.1145/3690391,https://dl.acm.org/doi/10.1145/3690391,"Journal on Computing and Cultural Heritage (JOCCH), Volume 17, Issue 4Article No.: 57, Pages 1–20https://doi.org/10.1145/3690391",article,ACM
Research on the Influencing Factors of University Teachers' Acceptance of Generative Artificial Intelligence Technology,Yuhua Cao,2025,"In order to investigate the influencing factors and their action mechanism for university teachers' acceptance of generative AI, this paper integrates the TAM and TOE model, focuses on the variables of self-efficacy, technological efficiency, ...",,10.1145/3732801.3732821,https://dl.acm.org/doi/10.1145/3732801.3732821,IECA '25: Proceedings of the 2025 2nd International Conference on Informatics Education and Computer Technology ApplicationsPages 93–99https://doi.org/10.1145/3732801.3732821,article,ACM
A Study on the Pathways of Generative Artificial Intelligence (GenAI) Collaborating with Cultural and Creative Product Innovation Design Driven by New-Form Productivity,"Ying Lin, Xuefei Wu",2025,"With the rapid development of the digital economy, the deep integration of digital technology and the cultural and creative industries has become an important pathway to promote the high-quality development of the cultural industry. The report of the 20th ...",,10.1145/3756580.3756623,https://dl.acm.org/doi/10.1145/3756580.3756623,"ICEKIM '25: Proceedings of the 2025 6th International Conference on Education, Knowledge and Information ManagementPages 263–269https://doi.org/10.1145/3756580.3756623",article,ACM
Policy Interventions and Regulations on Generative Artificial Intelligence: Key Gaps and Core Challenges,"Shiming Hu, Yifan Li",2024,"This study examines policy interventions and regulation of generative artificial intelligence (AI), focusing on key differences in generative AI policy in the EU, the US, and China. Using a comparative research methodology, the study analyzed the most ...",,10.1145/3657054.3659122,https://dl.acm.org/doi/10.1145/3657054.3659122,dg.o '24: Proceedings of the 25th Annual International Conference on Digital Government ResearchPages 1034–1036https://doi.org/10.1145/3657054.3659122,article,ACM
Turning Real-Time Analytics into Adaptive Scaffolds for Self-Regulated Learning Using Generative Artificial Intelligence,"Tongguang Li, Debarshi Nath, Yixin Cheng, Yizhou Fan, Xinyu Li, + 5",2025,"In computer-based learning environments (CBLEs), adopting effective self-regulated learning (SRL) strategies requires sophisticated coordination of multiple SRL processes. While various studies have proposed adaptive SRL scaffolds (i.e. real-time advice ...",,10.1145/3706468.3706559,https://dl.acm.org/doi/10.1145/3706468.3706559,LAK '25: Proceedings of the 15th International Learning Analytics and Knowledge ConferencePages 667–679https://doi.org/10.1145/3706468.3706559,article,ACM
